B004SBJHW4,372,"Motorola Atrix 4G MB860 Unlocked GSM Phone with Android 2.2 OS, Dual Core, 5MP Camera, GPS, Wi-Fi and Bluetooth - Black",,,,,,,,,,,,,,,
B002OB49SW,371,"Nokia N900 Unlocked Phone/Mobile Computer with 3.5-Inch Touchscreen, QWERTY, 5 MP Camera, Maemo Browser, 32 GB - U.S. Version with Full Warranty",,,,,,,,,,,,,,,
B004IS03FW,365,LG enV3 Cellular Phone Red - Verizon,,,,,,,,,,,,,,,
B008BL8FI4,354,LG 505C Prepaid Phone With Triple Minutes (Tracfone),,,,,,,,,,,,,,,
B004343W5E,353,"BlackBerry Bold 9780 Unlocked Cell Phone with Full QWERTY Keyboard, 5 MP Camera, Wi-Fi, 3G, Music/Video Playback, Bluetooth v2.1, and GPS (Black)",,,,,,,,,,,,,,,
B00598BY6W,353,IPHONE 4 16GB (A1332) - GSM Factory Unlocked - No Warranty (Black),,,,,,,,,,,,,,,
B0016JDBYG,351,"Motorola RAZR V3 Unlocked Phone with Camera, and Video Player - U.S. Version with Warranty (Black)",,,,,,,,,,,,,,,
B00BJL133C,351,HTC One 32GB - International Factory Unlocked (Sliver),,,,,,,,,,,,,,,
B00CMVLH66,351,"HTC One M7  32GB - Factory Unlocked, US Warranty - Silver (Unlocked)",,,,,,,,,,,,,,,
B00D8T9QZU,346,SAMSUNG GALAXY S4 MINI GT-i9195 8GB-UNLOCKED International Version Black LTE 800 / 850 / 900 / 1800 / 2100 / 2600MHz,,,,,,,,,,,,,,,
B001SEAOC6,345,"Nokia 5800 XpressMusic Unlocked Phone with U.S. 3G,  GPS with Free Voice Navigation, Wi-Fi -- U.S. Version with Warranty (Black)",,,,,,,,,,,,,,,
B00DJ338U4,345,Samsnug Galaxy GT-i9195 NO 4G NO WARRANTY,,,,,,,,,,,,,,,
B009QZH49K,344,"Samsung Galaxy S DUOS S7562 Unlocked GSM Phone with Dual SIM, Android 4.0 OS, 4"" Touchscreen, 5MP Camera + Seconday VGA Camera, Video, GPS, Wi-Fi, Bluetooth, Stereo FM Radio, MP3/MP4 Player and microSD Slot - White",,,,,,,,,,,,,,,
B004XIE6WI,341,Samsung S5830 Galaxy Ace - Unlocked Phone - Black,,,,,,,,,,,,,,,
B0084S70Q2,341,Unlocked Smartphone N8000 5 Inch Screen Android 4.0 Smart Phone Dual SIM,,,,,,,,,,,,,,,
B005M3518G,340,Samsung Galaxy S II SA-I9100 Unlocked Phone with 8 MP Camera and GPS support - International Version - Ceramic White,,,,,,,,,,,,,,,
B004HGU4H2,338,Motorola Droid X Android DarkGrey/Black - Verizon,,,,,,,,,,,,,,,
B00CUQJ6IE,336,BLU Studio 5.0 Unlocked Dual Sim Phone--U.S. Warranty (Black),,,,,,,,,,,,,,,
B00CUQJGUM,336,"BLU Studio 5.0 D530 Unlocked GSM Phone with Android 4.1 OS, Dual SIM, Dual-Core Processor, 5.0"" LCD Touchscreen, 5MP Camera + Secondary VGA Camera, Video, Wi-Fi, Bluetooth and microSD Slot - White",,,,,,,,,,,,,,,
B0097CZJEO,332,Apple iPhone 5 16GB (White) - Unlocked,,,,,,,,,,,,,,,
B005SSAXSI,331,Apple iPhone 4S 16GB (Black) - AT&T,,,,,,,,,,,,,,,
B005SSB0YO,330,Apple iPhone 4S 16GB (White) - AT&T,,,,,,,,,,,,,,,
B004KFXTOA,329,HTC EVO 4G Android Smartphone Sprint - No Warranty,,,,,,,,,,,,,,,
B008P2O89E,327,Kyocera Hydro Prepaid Android Phone (Boost Mobile),,,,,,,,,,,,,,,
B00FDZMC9Y,326,Samsung Galaxy Centura Android Prepaid Phone (TracFone),,,,,,,,,,,,,,,
B00A9ZER46,325,"LG E960 Google Nexus 4 Unlocked GSM Phone, 8GB, International Version/Warranty Black",,,,,,,,,,,,,,,
B00CO665MA,324,White LG 840G Prepaid Phone With Triple Minutes (Tracfone),,,,,,,,,,,,,,,
B00CRNW3ZI,321,"Samsung Galaxy S4, Black Mist 16GB (Verizon Wireless)",,,,,,,,,,,,,,,
B00HWEK39K,321,"Samsung Galaxy S4, Black 16GB (Verizon Wireless)",,,,,,,,,,,,,,,
B008Q24UNM,312,"Unlocked Quadband Dual Sim Android 4.1 OS With 4.7 Inch Capacitive Touch Screen 3G Smart Phone - AT&T, T-mobile, H20, Simple mobile and other GSM networks white",,,,,,,,,,,,,,,
