B00BH8U284,15,Ematic EGS102BL 10.0-Inch 4GB Genesis Prime XL Multi-Touch Tablet (Black),
B00IXZVKWQ,15,Shamo's New 10.1 Inch Google Android 4.2 Jeally Bean Tablet Pc 8gb ROM Quad Core 10 Inch 1gb RAM Hdmi Two Cameras Quad Core Supports Micro Sd Memory Card,
B007SPUSIE,14,Sony P SGPT211US/S 5.5-Inch Tablet,
B00FAZ2GWK,14,Tabeo E2 8 Inch Kids Tablet - Blue,
B00GCSKYP0,14,"9"" Inch 8GB Android 4.0.4 tablet pc, All Winner Cortex A13, 1.5GHz Dual Camera WiFi (PINK)",
B006K3POUW,13,Panimage Media Tablet Powered By Android,
B00BB9P1KI,13,Supersonic Android 4.1 SV-9 9-Inch Tablet,
B004KSNQ3Q,12,"Dell Inspiron Duo Convertible Tablet with Intel Dual Core 1.5GHz, 10.1"" Multi-touch Screen with WebCam, 2GB DDR3 Memory, 320GB Hard Drive, Windows 7 Home Premium",
B005V5TPXC,12,Tursion 10 Inch Android 2.3 Tablet PC WIFI & 3G 8 GB STORAGE Cortex A9 Processor,
B008EPGWCI,12,Craig Electronics 7-Inch Capacitance Tablet (Android 4.0) with Front Facing Camera CMP741e,
B0071CUQ4A,11,"Velocity Micro Cruz T301 7"" Android 2.2 Tablet",
B00AC788TG,11,"Motorola Droid XYBoard 10.1"" 16 GB Tablet MZ617-16 / Black - Non-Retail Packaging",
B00CGVHYA0,11,Goldengulf 9-Inch Dual Camera Latest MID Google Android 4.0 Tablet Pc Capacitive Allwinner A13 8GB,
B00F002PWG,11,"TURCOM NEW ""1GB DDR3 RAM"" 8-inch 8GB UPGRADED Android 4.1 Capacitive Tablet_w/ Dual Camera and QUAD Core Cortex A9 Processor (Pink)",
B00FNPD1W6,11,Acer Iconia A3-A10-L662 10.1-Inch Tablet,
B001874JXS,10,"HP Pavilion TX1000Z 12.1"" Touchscreen Tablet Computer (2.0 GHz AMD Turion 64 Dual Core TL-60, 4 GB RAM, 160 GB Hard Drive, DVD+/-RW Drive, Windows Vista Home Premium)",
B004P0WLEY,10,Acer ICONIA-6120 14 inch Tablet PC,
B004ULKSXO,10,ViewBook VB730 7-Inch Android 2.2 Wi-Fi/BT Tablet - Black,
B005SSZ6TO,10,"Coby 7"" Inch Kyros Touchscreen Internet Tablet 4G Android OS 2.3 Dark Blue - Coby MID7120-4G (Exclusive Color)",
B0062W95R4,10,Dell STREAK7-16GRAY 7-Inch Unlocked Tablet with Android 3.0 Honeycomb GSM Sim Ready - Gray,
B006LFVROQ,10,AFUNTA Android Tablet with 7 Inch Touchscreen (Android 4.0),
B006ZE7APS,10,"Turcom 10.2"" Google Android 2.3 Tablet PC 8GB 512 MB RAM",
B006ZU59SM,10,Motorola Xoom 32GB MZ600 Android - Verizon,
B007NSOS96,10,"CINEPAD AT107F 7"" 4 GB Tablet - Wi-Fi - Boxchip Cortex-A8 A10 1 GHz - Black",
B007TCEQ6G,10,SVP 7in Android 4.0 4GB 512MB RAM Tablet PC,
B008BPI378,10,Archos 97 Carbon 9.7-Inch 16 GB Tablet (Bronze),
B008FCCV0M,10,"Double Power M-975 with WiFi - 9.0"" CapacitiveTouchscreen Tablet PC Featuring Android 4.0 with Google Play",
B008GG4HSQ,10,"Samsung Galaxy Tab SCH-I905 32GB, Wi-Fi + 4G (Verizon), 10.1in - Metallic Gray w/chargers",
B008VT4GOI,10,"Samsung GALAXY Tab 2 8GB 7"" Touchscreen Android Tablet - Silver - REFURBISHED",
B0096YYEWQ,10,Kocaso MID-M9000 9-Inch Tablet (White),
B009GJOK16,10,"MOTOROLA XOOM Android Tablet 10.1-Inch, 32GB, Wi-Fi - Factory Refurbished",
B009P7JIZ2,10,Acer Iconia W510-1666 10.1-Inch 64 GB Tablet (Silver),
B009US2FGK,10,"Acer Iconia W510P-1406 10.1-Inch 64 GB Tablet with Keyboard Dock (Silver, Windows 8 Pro)",
B00A66YHRK,10,"TBS® 7"" inch Google Android 4.0.3 Touch Screen Tablet PC with 1.2GHz, 512MB DDR3, 8GB built-in Capacity and 32G Expandable Micro SD Card Compatible with Youtube /Facebook /SKYPE (White)",
B00AR4HJBM,10,Polaroid 4.3-inch Android 4.0 4gb Internet Tablet with Camera,
B00BMJJASG,10,Ematic EGS102GR 10.0-Inch 4GB Genesis Prime XL Multi-Touch Tablet (Gray),
B00BT8V286,10,Ematic FunTab FTABCP-2 7.0-Inch 4GB Tablet (Pink),
B00C977SL6,10,"Afunta(tm) 9.2'' Google Android 4.0 512mb/8gb Tablet Dual Camera Capacitive Multiple Touch Screen G-sensor A13 Tablet, 3d Games Skype Video Calling, Netflix Movies (Dual Camera, White)",
B00CHUCG1W,10,Google Nexus 7 Tablet (16 Gb),
B00CRXZPAS,10,Lenovo IdeaPad Miix 10.1-Inch 64GB Tablet (Silver),
B00DBJCI34,10,"SVP® 10"" Android 4.1 Capacitive Touchscreen Tablet (Features Google Play Store, Skype, YouTube, Netflix, Camera, Wifi, and G-Sensor!",
B00DOJIZF6,10,Double Power GS-918 Dual Core Google Certified 9-Inch Android Tablet,
B00DQ623TQ,10,Tivax MiTraveler 7D8C 7-Inch 8 GB Tablet (Black),
B00DU8P7GG,10,"AGPtek® 7 inch Android 4.2 Jelly Bean Cortex A7 1.5GHz Quad Core 1GB DDR3 RAM 1024*600 HD Touch Screen G-sensor Wifi Tablet PC Mini Pad, Built in 4GB Storage, Google Play Pre-Installed, 1080P HDMI Output, OTG Function, Compatible With Skype Video Calling, Youtube, eBook Reader",
B00E70IN9E,10,"Hisense Sero 7 Lite Tablet with 4GB Memory 7"" | E270Bsa",
B00EB8JSYQ,10,AFUNTA AF704 7-Inch Kid Tablet PC Android 4.2 MID 4GB HDD Dual Camera Dual Core CPU Wifi External 3G for Children Christmas/Birthday Gift (Pink),
B00EN8UN4S,10,Le Pan 8GB 8-Inch Quad Core Android 4.2 Tablet (Silver),
B00ENRPNPI,10,"SVP® 9 inch Tablet , Android 4.0, Dual Camera,8GB Internal Memory,Google Play Store, Capacitive Touchscreen",
B00F0XGU60,10,"TURCOM NEW ""1GB DDR3 RAM"" 8-inch 8GB UPGRADED Android 4.1 Capacitive Tablet_w/ Dual Camera and QUAD Core Cortex A9 Processor",
B00FJDVSTA,10,"Nexus 7 from Google LTE Version (7-Inch, 32 GB, Black, LTE) by ASUS (2013) Tablet",
B00FQT4QKU,10,HISENSE Sero 7 Pro 7 Inch 8GB Tablet - A,
B00G1YKHHA,10,Toshiba Encore WT8-A32 8-Inch 32 GB Tablet,
