B00AVYPLPY,31,Acer Aspire S7-391-9427 13.3-Inch Touchscreen Ultrabook (White),,,
B00IKF2H12,31,"ASUS ROG G750JM-DS71 17.3-inch Gaming Laptop, GeForce GTX 860M Graphics",,,
B001NPDKUI,30,HP Pavilion G60-230US 16.0-Inch Laptop,,,
B002PY7OSA,30,Dell Studio 1555 15.6-Inch Black Laptop,,,
B0030XTISE,30,HP Pavilion DV7-3180US 17.3-Inch Laptop (Black),,,
B0042X8W0Q,30,Acer Aspire TimelineX AS1830T-68U118 11.6-Inch Laptop (Black),,,
B004761S36,30,"Toshiba Portege R705-P35 Laptop,  Intel Core i3 Processor, 13.3"" Display",,,
B006ITP692,30,Acer Aspire AS5349-2899 15.6-Inch Laptop (Gray),,,
B00713DPM4,30,ASUS U32U-ES21 Ultra-Portable 13.3-Inch Laptop (Silver),,,
B008YGNS06,30,"Asus Matte Deep Blue Square 14"" X401U-EBL4 Laptop PC with AMD E1 1200 Processor, 4GB, 320GB HD, Webcam and Windows 7 Home Premium",,,
B009AEPKEI,30,Lenovo G780 17.3-Inch Laptop,,,
B00ACANBAE,30,"HP Pavilion 14-b017cl 14"" Sleekbook Laptop / Intel Core i5-3317U, 6GB DDR3 SDRAM, 500GB Hard Drive, HDMI, Webcam, USB 3.0, Windows 8",,,
B00CGE3IT8,30,Dell Latitude ATG D630 14.1-Inch Notebook,,,
B00COQIWVW,30,ASUS X550CA-DB51 15.6-Inch Laptop,,,
B00CRXZSYQ,30,Lenovo IdeaPad Y510p 15.6-Inch Laptop (Metal - Dusk Black),,,
B00CRXZVEI,30,Lenovo G505 15.6-Inch Laptop (Black),,,
B00D7Z84OY,30,HP ENVY 15t Quad Edition Notebook Laptop PC,,,
B00EZ8BJNK,30,ASUS ROG G750JH-DB71 17.3-Inch Laptop,,,
B00F9VPHEE,30,Toshiba Satellite S55-A5364 15.6-Inch Laptop,,,
B00FSB7PDG,30,ASUS D450CA-AH21 14-Inch Laptop (Black),,,
B00GZUKNJM,30,"Toshiba Satellite C55-A5308 15.6"" Laptop PC - Intel Core i3 / 4GB Memory / 750GB HD / DVD±RW/CD-RW / Built-in HD Webcam & Microphone / Windows 8",,,
B00HIY8VLQ,30,Lenovo IdeaPad Y510p 15.6-Inch Laptop (59406636) Dusk Black,,,
B00318CG8W,29,HP Pavilion DV4-2160US 14.1-Inch Laptop (Digital Plaid),,,
B00ANKN04A,29,Dell Inspiron 13z i13Z-3636sLV 13.3-Inch Laptop (Moon Silver),,,
B00BFFAWHK,29,"ThinkPad T430 23426QU 14"" LED Notebook - Intel - Core i5 i5-3230M 2.6GHz - Black",,,
B00CFGV7SG,29,Sony VAIO Fit Series SVF15218CXB 15.5-Inch Core i7 Touch Laptop,,,
B003KN3J2A,28,HP G72-250US 17.3-Inch Laptop,,,
B00F4MEKTQ,28,Dell Inspiron 15 i15RVT-3762BLK 15.6-Inch Touchscreen Laptop (Black),,,
B00FL9ECK4,28,"HP 15.6"" Laptop 4GB 320GB | 2000-2d19WM",,,
B0081YPVHE,27,Dell Inspiron i15R-2105sLV 15-Inch Laptop (Silver),,,
B00A221208,27,"Samsung NP355E5C-A01US Laptop (1.7GHz AMD Dual Core E2-1800 Accelerated 1.7GHz Processor, 4GB Ram, 500GB hard drive, Windows 8)",,,
B00A8NOZYQ,27,HP ENVY x2 11t-g000 Tablet Notebook PC,,,
